address	connections
0.0.0.0:0	11	
103.136.220.205:443	17	
104.18.225.52:443	7	
104.244.42.130:443	22	
104.244.42.195:443	2	
104.244.42.2:443	1	
13.107.5.88:443	4	
13.52.129.247:443	37	
130.211.34.183:443	8	
142.250.147.92:443	16	
157.240.205.1:443	544	
178.248.234.116:443	10	
184.50.193.58:443	11	
185.40.30.77:443	40	
188.124.39.70:443	5	
192.243.41.138:443	9	
20.190.160.130:443	4	
213.180.204.244:443	16	
213.248.110.89:443	5	
216.58.209.170:443	51	
216.58.209.202:443	20	
216.58.209.206:443	15	
216.58.210.131:443	31	
216.58.210.142:443	11	
216.58.210.170:443	6	
216.58.210.174:443	6	
34.102.215.127:443	16	
35.186.241.51:443	6	
40.70.161.102:443	15	
46.148.238.130:443	11	
51.105.218.222:443	3	
52.232.209.85:443	11	
52.85.47.112:443	10	
52.85.47.122:443	7	
52.85.47.45:443	5	
52.85.47.9:443	2	
54.177.39.110:443	55	
64.233.165.188:5228	26	
69.195.177.128:443	2	
77.88.21.207:443	11	
80.158.2.135:443	6	
87.240.190.70:443	10	
87.240.190.78:443	8	
87.250.250.207:443	10	
92.53.68.203:443	3	
93.184.220.70:443	13	
93.186.225.205:443	23	