pid	tid	name	begin_time	end_time	duration	total_ticks	active_ticks	active_percent	begin_step	end_step
28823	1953	queued-work-loo	3271	4413	1142	2	0	0	0	0
28823	28823	xample.test_one	3271	4413	1142	2	0	0	0	0
28823	28828	Jit thread pool	3271	4413	1142	2	0	0	0	0
28823	28829	Signal Catcher	3271	4413	1142	2	0	0	0	0
28823	28830	JDWP	3271	4413	1142	2	0	0	0	0
28823	28832	ReferenceQueueD	3271	4413	1142	2	0	0	0	0
28823	28833	FinalizerDaemon	3271	4413	1142	2	0	0	0	0
28823	28834	FinalizerWatchd	3271	4413	1142	2	0	0	0	0
28823	28835	HeapTaskDaemon	3271	4413	1142	2	0	0	0	0
28823	28836	Binder	3271	4413	1142	2	1	50	0	0
28823	28837	Binder	3271	4413	1142	2	0	0	0	0
28823	28840	Profile Saver	3271	4413	1142	2	0	0	0	0
28823	28870	RenderThread	3271	4413	1142	2	0	0	0	0
28823	28875	Binder	3271	4413	1142	2	0	0	0	0
28823	28882	mali-mem-purge	3271	4413	1142	2	0	0	0	0
28823	28883	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28884	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28885	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28886	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28887	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28888	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28889	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28890	mali-utility-wo	3271	4413	1142	2	0	0	0	0
28823	28891	mali-cmar-backe	3271	4413	1142	2	0	0	0	0
28823	28906	RenderThread	3271	4413	1142	2	0	0	0	0
28823	28908	hwuiTask1	3271	4413	1142	2	0	0	0	0
28823	28909	hwuiTask2	3271	4413	1142	2	0	0	0	0
28823	3093	Binder	3271	4413	1142	2	0	0	0	0
10516	10516	xample.test_one	6603	941627	935024	844	207	24	1	778
10516	10523	Jit thread pool	6603	941627	935024	844	16	1	1	778
10516	10524	Signal Catcher	6603	941627	935024	844	0	0	1	778
10516	10526	JDWP	6603	941627	935024	844	0	0	1	778
10516	10527	ReferenceQueueD	6603	941627	935024	844	0	0	1	778
10516	10528	FinalizerDaemon	6603	941627	935024	844	0	0	1	778
10516	10529	FinalizerWatchd	6603	941627	935024	844	0	0	1	778
10516	10530	HeapTaskDaemon	6603	941627	935024	844	0	0	1	778
10516	10533	Binder	6603	941627	935024	844	0	0	1	778
10516	10535	Binder	6603	941627	935024	844	36	4	1	778
10516	10536	Binder	6603	941627	935024	844	281	33	1	778
10516	10542	Profile Saver	6603	941627	935024	844	0	0	1	778
10516	10568	RenderThread	7669	941627	933958	843	202	23	1	778
10516	10573	mali-mem-purge	7669	941627	933958	843	0	0	1	778
10516	10574	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10575	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10576	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10577	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10578	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10579	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10580	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10581	mali-utility-wo	7669	941627	933958	843	0	0	1	778
10516	10582	mali-cmar-backe	7669	941627	933958	843	200	23	1	778
10516	10583	ged-swd	7669	941627	933958	843	0	0	1	778
10516	10604	RenderThread	7669	941627	933958	843	0	0	1	778
10516	10605	hwuiTask1	7669	941627	933958	843	0	0	1	778
10516	10606	hwuiTask2	7669	941627	933958	843	0	0	1	778
10516	10613	EmojiCompatInit	7669	7669	0	1	0	0	1	1
10516	10618	Binder	7669	941627	933958	843	73	8	1	778
10516	11176	Binder	16452	941627	925175	835	81	9	10	778
10516	14659	queued-work-loo	62739	941627	878888	793	0	0	52	778
10516	14776	Binder	66170	941627	875457	790	305	38	55	778
10516	7048	Binder	480839	941627	460788	418	80	19	374	778